,ResTimePre,equiv_pldnPre,conc_dfnbPre,temperaturePre,ResTimePost,equiv_pldnPost,conc_dfnbPost,temperaturePost,STYPre,EFactorPre,STYPost,EFactorPost,itterTimePre,itterTimePost,hypervolumePre,hypervolumePost
0,1.1832505464553833,1.6028936505317688,0.1378724962472916,61.74478858709335,1.1832505464553833,1.6028936505317688,0.1378724962472916,61.74478858709335,0.06725974598040195,0.020237838165025033,0.06725974598040195,0.020237838165025033,0.0,0.0,0.0,0.0
1,1.4138012640178204,4.061367616057396,0.47605803459882734,82.15907737612724,1.4138012640178204,4.061367616057396,0.47605803459882734,82.15907737612724,0.06726563827197472,0.019946671622091773,0.06726563827197472,0.019946671622091773,0.0,0.0,1.0956625541784383e-06,1.0956625541784383e-06
2,1.717320850584656,2.2806387543678284,0.28623841926455496,33.743658447638154,1.717320850584656,2.2806387543678284,0.28623841926455496,33.743658447638154,0.0,1.1351269471605877e-08,0.0,1.1351269471605877e-08,0.0,0.0,0.009137562236734783,0.009137562236734783
3,0.6914985296316445,3.8211214803159237,0.3494206387549639,99.14898983202875,0.6914985296316445,3.8211214803159237,0.3494206387549639,99.14898983202875,0.1336043066964602,0.020670579009503268,0.1336043066964602,0.020670579009503268,0.0,0.0,0.009137562236734783,0.009137562236734783
4,0.6083443616516888,2.7113317474722862,0.42361267954111104,112.69958554767072,0.6083443616516888,2.7113317474722862,0.42361267954111104,112.69958554767072,0.1839624160199321,0.02507832070955486,0.1839624160199321,0.02507832070955486,0.0,0.0,0.009414778560490486,0.009414778560490486
5,0.5343914442760042,2.464876538415794,0.36809006203137484,120.0,0.5,1.8647117970125986,0.31851803487589947,109.26570168357125,0.2504404160300824,0.030845061121151776,0.02068805812091558,0.002465582944196119,2.609000000025844,1.0469999999913853,0.011593109244478848,0.011593109244478848
6,0.5,2.101220994679067,0.32074857262710893,120.0,0.5,3.3973217652506666,0.46325020550459417,108.56677789290659,0.0,1.1261851690581595e-08,0.5341383737532754,0.0576030335574194,3.4689999999827705,1.0309999999881256,0.011593109244478848,0.011593109244478848
7,0.5784113427601119,2.995262163222312,0.42554886856087193,119.96542921771848,0.5,3.6415385399006754,0.4944799667226315,108.04009244578229,0.39292620493407515,0.050430758831851275,1.0039747735573776,0.10597716589948095,3.0929999999934807,1.1410000000032596,0.011593109244478848,0.016515745167469485
8,0.5384624903183313,3.257644937781195,0.4430013702085579,120.0,0.5,4.028216752767552,0.5,108.18337981235616,0.4922681257764942,0.0579149712824318,0.43628548770075315,0.045322420758765886,3.3589999999967404,1.25,0.015928530013687502,0.020880316745339744
9,0.5,3.601518663028834,0.4461295571061078,120.0,0.5,3.4837687774857775,0.5,105.24138721226913,0.9865120042171358,0.106430012436602,0.4507782585034936,0.04774138694366023,3.9690000000118744,1.264999999984866,0.019767457620068644,0.025043808166855856
10,0.5,3.9454882510118363,0.46642528322373733,120.0,0.5,3.6482869971392233,0.5,116.92664878740456,0.7645591569465957,0.08083872051809017,0.7487957645284796,0.07883937162187983,2.389999999984866,1.6719999999913853,0.02333000518773683,0.025043808166855856
11,0.5,3.9076021234405305,0.4536663227181704,120.0,0.5,3.6344414943491454,0.5,120.0,0.6634921158216186,0.0706381156839176,0.2408424649743096,0.025370384957313814,2.734000000025844,1.6719999999913853,0.03058646997030754,0.0295090597059056
12,0.5,3.7631465711807928,0.48820221408812015,120.0,0.5,3.6560036857507483,0.5,100.35271253633923,0.9808418795736911,0.1033694795988367,0.1992969490622264,0.020977854939215616,2.4530000000086147,1.5,0.03058646997030754,0.032785802965170675
13,0.5,3.68230514704171,0.5,120.0,0.5,3.6906536882059195,0.5,114.18751279019311,0.6922160758428775,0.07279399809478833,0.49292356437812296,0.05182084736864703,2.75,1.3910000000032596,0.03238899001869042,0.032785802965170675
14,0.5,3.8331494664728307,0.5,120.0,0.5,3.6439529475488057,0.5,113.44413661287875,0.7178768776709838,0.07508956917694852,0.6666420550587753,0.0702003904937296,3.25,1.5780000000086147,0.03351843615349441,0.032785802965170675
15,0.5,3.7467749130396326,0.46498074305415327,120.0,0.5,3.604710293077534,0.5,112.68909083913307,0.8332490653089468,0.08874474208569055,0.9283116592149456,0.09789221588509275,3.1719999999913853,1.3900000000139698,0.035793812277468244,0.032785802965170675
16,0.5,3.7022423512678193,0.4546049397084938,120.0,0.5,1.0,0.1,30.0,0.8452026339117071,0.09055508681699767,0.0,1.2314967611635183e-08,2.5789999999979045,1.0780000000086147,0.035793812277468244,0.032785802965170675
17,0.5,3.6730575841823785,0.4479295512620517,120.0,0.5,3.5514879059908124,0.5,111.32864097702911,0.542073034957374,0.0583005545846349,0.5656454139162308,0.05976183796044539,2.9689999999827705,1.3289999999979045,0.035793812277468244,0.032785802965170675
18,0.5,3.9442048723780396,0.5,120.0,0.5,3.5799741236937113,0.5,111.40007887971198,0.6244119938013015,0.06505753907072308,0.0006047570709943884,6.382909672976051e-05,3.014999999984866,1.9690000000118744,0.035793812277468244,0.032785802965170675
19,0.5,3.6790512096550563,0.4803830078830684,120.0,0.5,4.043709928538484,0.4728768760088511,119.35377492867062,0.8224716236063879,0.08722209969962501,0.46555582236435944,0.04892222138407584,4.687000000005355,1.3910000000032596,0.037434788663642096,0.032785802965170675
20,0.5,3.651671173538343,0.4818919223905741,120.0,0.5,3.6565865727942026,0.5,118.1946813262786,0.7633966310524382,0.08098206269868512,0.35291984588446845,0.037147320672506104,3.6719999999913853,1.7969999999913853,0.037434788663642096,0.032785802965170675
21,0.5,3.6661771288954825,0.47805885953230054,120.0,0.5,3.9570110793037396,0.4795368596886739,111.9946776044975,0.7487631604723346,0.07951897303235896,0.8021823206913076,0.08429456948471145,2.9679999999934807,2.7810000000172295,0.037434788663642096,0.032785802965170675
22,0.5956367550835033,3.735478638224487,0.4780389145893228,120.0,0.5,4.136303643631319,0.47035761975792545,111.68411507959404,0.6764641095337367,0.08537951081638073,0.19735405928947652,0.020697845797539204,2.7030000000086147,1.4679999999934807,0.037434788663642096,0.032785802965170675
23,0.5,3.6806461592610344,0.473702583758588,120.0,0.5,3.484023256691984,0.5,113.21871276997406,0.49052376815747184,0.052164536973508736,0.42141898323581856,0.044631574251925196,2.75,1.25,0.037434788663642096,0.032785802965170675
